aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,ecs,repacxns,taxids,cellids,targettaxid,annotation
   1224848,Confirmatory,qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required fo",58,Tox21,ERR985,20180202,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1224841,Confirmatory,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required fo",58,Tox21,PGC907,20180202,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1224834,Confirmatory,qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library - cell viability counter screen,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required fo",58,Tox21,ERR163,20180201,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,NULL,Cell-based,NULL,Governmental Organizations,NULL,0,NULL,NULL,NULL,54,,NULL
1224840,Confirmatory,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library - cell viability counter screen,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required fo",58,Tox21,PGC363,20180202,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,NULL,Cell-based,NULL,Governmental Organizations,NULL,0,NULL,NULL,NULL,54,,NULL
1224842,Confirmatory,qHTS assay to identify small molecule agonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library,"National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_Assay overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required for high-energy production in response to the environmental challenges.  ",58,Tox21,PGC875,20180202,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1259402,Summary,qHTS assay to identify small molecule agonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required fo",58,Tox21,PGC835,20180322,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1259404,Summary,qHTS assay to identify small molecule agonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism. ERRs are required for",58,Tox21,ERR476,20180322,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1224849,Confirmatory,qHTS assay to identify small molecule agonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library,"National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_Assay overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required for high-energy production in response to the environmental challenges.  ",58,Tox21,ERR504,20180202,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1259401,Summary,qHTS assay to identify small molecule antagonists of the estrogen related receptor signaling pathway with the pleiotropic PPARgamma coactivator (PGC) from Tox21 10K library: Summary,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism.  ERRs are required fo",58,Tox21,PGC347,20180322,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
1259403,Summary,qHTS assay to identify small molecule antagonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary,"U.S. Tox21 Program_||_National Center for Advancing Translational Sciences [NCATS]_||_NIH Chemical Genomics Center [NCGC]_||_U.S. Environmental Protection Agency [EPA]_||_National Institutes of Environmental Health Sciences [NIEHS]_||_National Toxicology Program [NTP]_||_U.S. Food and Drug Administration [FDA]_||_Tox21 Assay Overview:_||_Estrogen related receptors (ERRs), the first orphan nuclear receptors discovered, play an important role in the control of cellular energy metabolism. ERRs are required for",58,Tox21,ERR599,20180322,4|6|11|13|33|34|51|66|72|79|107|135|174|176|177|178|179|180|190|196|204|227|240|241|243|244|247|261|262|263|264|289|299|300|307|308|311|323|325|326|332|335|338|342|356|370|379|385|398|403|447|454|460|464|525|527|541|546|564|568|588|594|597|612|650|660|671|674|679|681|700|701|702|712|713|727|743|750|753|757|774|785|791|795|798|802|803|807|811|863|864|867|875|880|887|892|896|904|931|936|938|949|957|967|970|971|978|980|985|991|992|995|996|997|998|999|1004|1017|1018|1030|1031|1032|1046|1049|1050|1054|1057|1060|,144205501|144206117|144206325|144206326|144206328|144206329|144206330|144206333|144206369|144206371|144206375|144206376|144206379|144206380|144206382|144206383|144206384|144206385|144206386|144206389|144206390|144206392|144206393|144206395|144206396|144206397|144206398|144206399|144206400|144206401|144206403|144206405|144206411|144206412|144206414|144206415|144206418|144206419|144206420|144206423|144206425|144206427|144206428|144206430|144206431|144206432|144206433|144206434|144206435|144206437|144206438|14,2101,Cell-based,ADZ17378,Governmental Organizations,NULL,0,NULL,P11474,NULL,54,,NULL
